left_genes,left_loadings,right_genes,right_loadings
AT2G39670,-0.009021987546269981,AT2G27940,0.0005100212890754621
AT2G39700,-0.009491922194992126,AT2G28640,0.00013269043021520927
AT2G39800,-0.008994089313833888,AT2G28980,0.0001673091632373969
AT2G39900,-0.009474873345516551,AT2G29040,0.00015942996603447157
AT2G40110,-0.00925077862315594,AT2G29500,0.005942651224080398
AT2G40205,-0.00900693511286515,AT2G30020,0.0006566738515639016
AT2G40490,-0.009007337079948255,AT2G30360,0.0003471418464719577
AT2G40660,-0.00908554762348442,AT2G30750,0.008038231418535904
AT2G40820,-0.009384402930599712,AT2G30766,0.006103044935344712
AT2G40900,-0.009406298915940095,AT2G30770,0.011519720509576769
AT2G40940,-0.009352879936508544,AT2G31981,0.0002456911094330845
AT2G41475,-0.009181466779245754,AT2G32110,0.0001441992188092179
AT2G41540,-0.009309577356062193,AT2G32470,0.00013321461941245087
AT2G41560,-0.009083666514276709,AT2G32785,0.00013642217031026275
AT2G42320,-0.009449755936603944,AT2G32890,0.0003812453277884583
AT2G42390,-0.009026232392173192,AT2G33030,0.00015136064421673493
AT2G42840,-0.01081628296758121,AT2G33050,0.0013340574571842623
AT2G43350,-0.009197160683904623,AT2G33520,0.00021571067492289305
AT2G43360,-0.009867945129088706,AT2G34315,0.00015549514431362086
AT2G43530,-0.010525072691754064,AT2G34420,0.01024147226571454
AT2G43535,-0.009927081841461799,AT2G34740,0.0006742603750121195
AT2G43550,-0.011613335157517016,AT2G35215,0.0001745379944312411
AT2G43560,-0.009295297404030838,AT2G35945,0.0002472204776467077
AT2G43590,-0.009232917713499931,AT2G36030,0.0002146205497562513
AT2G43610,-0.009096992858406264,AT2G36790,0.0014451091059194193
AT2G43910,-0.01032611460952319,AT2G36854,0.00025554912452854214
AT2G44160,-0.009144765213457685,AT2G37620,0.002573064515057899
AT2G44180,-0.008970033287730538,AT2G38150,0.00015363455176034768
AT2G44360,-0.009019017568232361,AT2G38790,0.0009299024862172691
AT2G45300,-0.009142424545809926,AT2G38900,0.0003998655347642897
AT2G45340,-0.009088003571320055,AT2G38910,0.00013719671491957237
AT2G45400,-0.009476347524071112,AT2G40580,0.00018110261553912834
AT2G46225,-0.009254998853391832,AT2G41180,0.0003327718799109089
AT2G46535,-0.009201987121436911,AT2G41390,0.00018028987521238036
AT2G46650,-0.009351852107604305,AT2G41750,0.0012688418278005303
AT2G46930,-0.009111011844475556,AT2G42000,0.000378410846901482
AT2G47160,-0.00932879482777863,AT2G42360,0.001502170960595947
AT2G47240,-0.009311511354610938,AT2G42930,0.0002024430607645496
AT2G47630,-0.00974774952727606,AT2G44130,0.002040579966947117
AT2G47640,-0.00931626564789362,AT2G44370,0.004883507971429316
AT2G47650,-0.009400110009626515,AT2G44380,0.000570209256141684
AT2G47930,-0.009234449796535671,AT2G45310,0.0007998234161966725
AT2G47940,-0.009116068830996403,AT2G45406,0.00012905147309551717
AT2G48120,-0.008959859321794071,AT2G45760,0.010445122446599519
AT3G01420,-0.009650828467980781,AT2G46510,0.00013227752541478723
AT3G01470,-0.009438702860313296,AT2G46820,0.002749416434702733
AT3G01670,-0.009293935565466385,AT2G47110,0.0006044507799860473
AT3G01680,-0.009265245245769042,AT2G47120,0.00039159812690559216
AT3G02110,-0.01015941800858169,AT2G47400,0.000335448821283486
AT3G02120,-0.010060177437148914,AT2G47430,0.0001329842856974424
AT3G02530,-0.008997410821795731,AT2G47885,0.00034525941779866437
AT3G02540,-0.009019891610684068,AT3G01005,0.00016472984698644034
AT3G02630,-0.009099398283754865,AT3G01065,0.000510136919707512
