genes,loadings
AT1G04870,-0.008430083539912385
AT1G04873,0.00033110876581028247
AT1G04877,-0.004817970735957686
AT1G04880,-0.0021726112087258323
AT1G04883,-0.0002889808486596206
AT1G04887,4.019178591065168e-05
AT1G04890,9.746797165466885e-05
AT1G04893,-0.0033745346695402646
AT1G04895,0.00011626217966032757
AT1G04897,-0.00023756039636228617
AT1G04900,-0.00801987460070965
AT1G04907,-0.001783649847781173
AT1G04910,-0.0077593750299717055
AT1G04913,-0.0007835063579734418
AT1G04917,0.0003894638350749336
AT1G04920,-0.0025355785114931193
AT1G04923,-0.00013079465369656955
AT1G04927,-0.001247954063737313
AT1G04930,-0.005975935789478187
AT1G04933,-0.0027062467452460223
AT1G04937,-2.3948930660287066e-06
AT1G04940,-0.00898544887908971
AT1G04943,1.5540209839476128e-05
AT1G04945,-0.006473696590375026
AT1G04947,5.410873281846315e-06
AT1G04950,-0.007967578473645796
AT1G04953,2.9080321545467037e-05
AT1G04957,-7.25938592422039e-05
AT1G04960,-0.007902901987507198
AT1G04963,4.346112071685532e-05
AT1G04967,7.273006158172072e-05
AT1G04970,-0.00745721433165857
AT1G04973,-0.0039056019834490686
AT1G04977,-0.0008015713740227793
AT1G04980,-0.008178624692605479
AT1G04983,-0.0002953247888876117
AT1G04985,-0.007303624250084116
AT1G04987,2.1874999714530035e-05
AT1G04990,-0.007378868344139609
AT1G04997,-0.0002765882650087461
AT1G05000,-0.0074309411054242665
AT1G05003,4.526623618112548e-07
AT1G05005,-0.00017268940844626115
AT1G05007,-3.980432617876095e-05
AT1G05010,-0.0072789242414827236
AT1G05013,-0.00019055525836649687
AT1G05017,-0.0005114363697782119
AT1G05020,-0.0032741477108306333
AT1G05023,-0.004220035898132834
AT1G05027,-0.0001504578770163239
AT1G05030,-0.007595442656854679
AT1G05033,-0.0017357105571126844
AT1G05035,-0.0017835765711548008
AT1G05037,4.1467763351760154e-05
AT1G05040,-0.0002876017889393056
AT1G05043,-0.0022309534032816116
AT1G05047,-0.001754685912788622
AT1G05053,1.891232032802196e-05
AT1G05055,-0.007576182015442966
AT1G05057,-0.0021139582972572154
AT1G05060,-0.008206664052839756
AT1G05061,-0.001534933239028884
AT1G05065,-0.005158467928530741
AT1G05067,-6.661802372210543e-05
AT1G05070,-0.007968311135366144
AT1G05073,-6.483318498425836e-05
AT1G05077,-0.001053316938052331
AT1G05080,-8.574699897859948e-05
AT1G05083,-0.0011222491097317325
AT1G05085,-2.6015873212996906e-05
AT1G05087,-0.00435936354307802
AT1G05090,-0.002214131690063383
AT1G05093,-0.00015905689569112194
AT1G05097,-1.7406622053685315e-05
AT1G05100,-0.003358113563642309
AT1G05103,-0.0018444702935001074
AT1G05107,-0.0011622678780876423
AT1G05113,1.1980173313620332e-05
AT1G05117,6.223848646057778e-05
