SampleID,family,TissueClean,stress,AboveBelow,VegetativeRepro,true_labels,predictions
SRR8692587,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692589,Solanaceae,Leaf,salt,Above,Vegetative,7,16
SRR8692590,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692611,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692627,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692645,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR6122660,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122661,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122676,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122677,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122682,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122666,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122668,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122669,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122670,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122671,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122673,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122664,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122665,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122672,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR6122680,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122681,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122683,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122667,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122674,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122675,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR6122688,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122689,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122690,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122678,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122679,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122684,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122685,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122686,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,18
SRR6122687,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122691,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122692,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122693,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122611,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR6122612,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122613,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122614,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122615,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122616,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122608,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122609,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122617,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122619,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122624,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122625,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR6122610,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122626,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122627,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122618,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122620,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122621,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122622,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122623,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR6122694,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122701,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122702,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122703,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122698,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122699,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122700,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR6122695,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,13
SRR6122696,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR6122697,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR771931,Solanaceae,Shoot,healthy,Above,Vegetative,18,19
SRR771940,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR771924,Solanaceae,Shoot,healthy,Above,Vegetative,18,7
SRR8549397,Solanaceae,Flower,healthy,Above,Reproductive,3,19
SRR8549398,Solanaceae,Flower,healthy,Above,Reproductive,3,19
SRR771942,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,8
SRR771934,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR771951,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR771941,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR771933,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,8
SRR771935,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,8
SRR771936,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR771943,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR771929,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR771944,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR771945,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR771946,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR771953,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR771952,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR771954,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR771956,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR771955,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,13
SRR771947,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,15
SRR771938,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR771948,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,18
SRR771939,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR771925,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR771928,Solanaceae,Flower,healthy,Above,Reproductive,3,19
SRR771927,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR771932,Solanaceae,Flower,healthy,Above,Reproductive,3,0
SRR8549402,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8549403,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8549404,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8549399,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8549400,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8549401,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR1066056,Fabaceae,Root,cold,Below,Vegetative,13,7
SRR1066057,Fabaceae,Root,drought,Below,Vegetative,13,8
SRR1066058,Fabaceae,Root,salt,Below,Vegetative,13,0
SRR1066059,Fabaceae,Root,healthy,Below,Vegetative,13,8
SRR1066060,Fabaceae,Shoot,cold,Above,Vegetative,18,7
SRR1066061,Fabaceae,Shoot,drought,Above,Vegetative,18,7
SRR1066062,Fabaceae,Shoot,salt,Above,Vegetative,18,7
SRR1066063,Fabaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8100113,Solanaceae,Flower,healthy,Above,Reproductive,3,13
SRR8100115,Solanaceae,Flower,healthy,Above,Reproductive,3,13
SRR8100093,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8100094,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8100095,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8100099,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100100,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100111,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR8100105,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100106,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR8100112,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR8100103,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100104,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR8100109,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR8100107,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR8100108,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,16
SRR8100110,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100096,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8100097,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8100098,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8100101,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8100102,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8100114,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR771937,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,8
SRR8100089,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8100090,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8100092,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR771926,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR771930,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,18
SRR8100074,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100087,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100088,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100073,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100079,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,22
SRR8100080,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100076,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100081,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100082,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100075,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100077,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100078,Solanaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR8100085,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8100086,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8100091,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR771949,Solanaceae,Root,healthy,Below,Vegetative,13,13
SRR8100072,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8100083,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8100084,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR771950,Solanaceae,Shoot,healthy,Above,Vegetative,18,16
SRR8100069,Solanaceae,Flower,healthy,Above,Reproductive,3,5
