genes,loadings
AT1G15200,-0.014412077363921565
AT1G15215,-0.014163213755491245
AT1G15220,-0.011975149731262756
AT1G15240,-0.013333897542446956
AT1G15280,-0.014256184939874947
AT1G15290,-0.015128318126634364
AT1G15310,-0.009721602350790415
AT1G15330,-0.0026903931494321937
AT1G15370,-0.013425354274511721
AT1G15390,-0.01380912110290061
AT1G15410,-0.013629470603086181
AT1G15420,-0.0139900743799794
AT1G15440,-0.013484482992676428
AT1G15490,-0.011598847558533543
AT1G15500,-0.014641732668335425
AT1G15660,-0.013386910983046325
AT1G15720,-0.0066800477981597325
AT1G15730,-0.015782432835290478
AT1G15740,-0.013917656657112571
AT1G15820,-0.012421991455391907
AT1G15880,-0.013015015019545786
AT1G15980,-0.01625536259752219
AT1G16000,-0.014433536295510295
AT1G16010,-0.013872527990111506
AT1G16020,-0.01395699852558701
AT1G16040,-0.012014162111165875
AT1G16070,-0.009002098908548013
AT1G16080,-0.016019892643834983
AT1G16180,-0.01170633570327404
AT1G16210,-0.01266094795544985
AT1G16225,-0.0005190148225708674
AT1G16280,-0.012361039599791835
AT1G16340,-0.01513130495233724
AT1G16350,-0.015392762182958547
AT1G16380,0.0002022695469259216
AT1G16440,-0.0022755793560037957
AT1G16445,-0.012412043124088452
AT1G16460,-0.01580521389110592
AT1G16470,-0.015098091952227286
AT1G16500,-0.011425623782766828
AT1G16520,-0.014362722319208925
AT1G16540,-0.01067446830859547
AT1G16560,-0.01462231365712926
AT1G16610,-0.012893607266923453
AT1G16650,-0.011811484650076075
AT1G16680,-0.013615431356434114
AT1G16690,-0.012254332063979828
AT1G16700,-0.013589216034078847
AT1G16720,-0.014990087122525413
AT1G16740,-0.01478642987281107
AT1G16780,-0.014456366825441313
AT1G16800,-0.009366019627893353
AT1G16810,-0.014618248239947687
AT1G16825,-0.012603966327077217
AT1G16840,-0.01118762592479316
AT1G16870,-0.014704509898859797
AT1G16890,-0.012663725068340735
AT1G16900,-0.013520245310992718
AT1G16970,-0.013403424201564616
AT1G16980,-0.00021380423701560089
AT1G17030,-0.005397963770236674
AT1G17050,-0.014227928050046069
AT1G17070,-0.010328121358829974
AT1G17100,-0.013536356146076768
AT1G17130,-0.014593455471900399
AT1G17145,-0.013019023060722848
AT1G17160,-0.013186494111978355
AT1G17200,-0.01726262628733852
AT1G17210,-0.013172997381555676
AT1G17220,-0.014990929926542875
AT1G17230,-0.011204561598522985
AT1G17270,-0.010195152711723146
AT1G17280,-0.013788910957265334
AT1G17330,-0.013569384410745816
AT1G17350,-0.013331393997046947
AT1G17360,-0.012024186773771107
AT1G17420,-0.010480498477144
AT1G17440,-0.014203590194283619
AT1G17450,-0.010395146890606348
AT1G17455,-0.01182050548284325
AT1G17470,-0.014795151834827566
AT1G17480,-0.01003551689701018
AT1G17560,-0.013635048151509338
AT1G17650,-0.016261878559464437
AT1G17680,-0.013011365170019619
AT1G17690,-0.014216363411762804
AT1G17730,-0.014129194040490444
AT1G17750,-0.0069103429602475255
AT1G17760,-0.013660642471630074
AT1G17810,-0.0017788582944323927
AT1G17820,0.0004317612538768243
AT1G17840,-0.016215292430410557
AT1G17870,-0.008803289628562552
AT1G17880,-0.013154845590901106
AT1G17890,-0.010787241174262342
AT1G17940,-0.013604513047020808
AT1G17960,-0.004786219796191491
AT1G18000,-0.011933046979874799
AT1G18040,-0.01300638242414142
AT1G18060,-0.014487876147548432
AT1G18070,-0.014436040160946587
AT1G18160,-0.013194505795244733
AT1G18180,-0.010799915534379798
AT1G18190,-0.013104661358558601
AT1G18250,-0.01465829419212253
AT1G18260,-0.013205664376065898
AT1G18270,-0.013572175102004471
AT1G18335,-0.0121665920686477
AT1G18340,-0.014240841057967734
AT1G18360,-0.015122516324230624
AT1G18370,-0.012564156182705103
AT1G18450,-0.015611818357300694
AT1G18460,-0.014437337347531899
AT1G18480,-0.0026381099202210977
AT1G18490,-0.012944904050315405
AT1G18530,-0.0005641071170549166
